web-scraper-order,web-scraper-start-url,Title Links,Title Links-href,B Number and Title,B number,Principal applicant name,Co-applicants,Title of project,Proposal summary,Impact of research,Date proposal received,Date proposal approved,Keywords
1616725408-2207,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=31,B3037 - Behavioural PheWAS Alcohol tobacco and caffeine use in ALSPAC subpopulations - 11/01/2018,https://proposals.epi.bristol.ac.uk/?q=node/127351,B3037 - Behavioural PheWAS Alcohol tobacco and caffeine use in ALSPAC subpopulations - 11/01/2018,B3037,"Luisa Zuccolo | IEU, University of Bristol (United Kingdom)","Miss Laura Schellhas, Miss Elis Haan, Miss Kayleigh Easey, Miss Tamsin Sharp, Miss Louise Millard , Mr. Tom Gaunt","Behavioural PheWAS: Alcohol, tobacco and caffeine use in ALSPAC subpopulations","Through genome wide association studies (GWAS), common genetic variants have been identified that are associated with alcohol, tobacco and caffeine use in the general population, allowing the generation of polygenic risk scores (PRS) for these substances. However, uncertainty remains as to whether these variants also predict use in pregnancy or at other time points in life.

Further investigation is required to confirm if these previously found genetic variants are predictive of alcohol, tobacco or caffeine use in specific subpopulations in ALSPAC; in adults (as a positive control), pregnancy, and adolescence. These variants may also have considerable pleiotropic effects, affecting the outcome through pathways other than the exposure of interest. As consumption of alcohol, tobacco and caffeine is highly comorbid with mental health problems, it is possible that common genetic variants are predisposing individuals for both an increased consumption of these substances, and development of mental health problems. A PheWAS tests the association of a single or set of genetic risk variants with a finite group of human traits, termed âthe phenomeâ.  The strength of the ALSPAC data is its longitudinal design, that enables to track health behaviour over a long period of time.",null,"Sunday, 7 January, 2018","Wednesday, 10 January, 2018","Epidemiology, Addiction  - e.g. alcohol, illicit drugs, smoking, gambling, etc., Behaviour - e.g. antisocial behaviour, risk behaviour, etc., Eating disorders - anorexia, bulimia, Mental health, Pregnancy - e.g. reproductive health, postnatal depression, birth outcomes, etc., Statistical methods, Birth outcomes, Childhood - childcare, childhood adversity, Cognition - cognitive function, Development, Offspring, Parenting, Sleep, psychiatric traits, mental health"
1616721877-837,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=102,B964 - Peer group influences on the relationship between depressive symptoms and substance use/misuse in adolescence - 06/01/2010,https://proposals.epi.bristol.ac.uk/?q=node/126577,B964 - Peer group influences on the relationship between depressive symptoms and substance use/misuse in adolescence - 06/01/2010,B964,"Dr Marianne  van den Bree (University of Cardiff, UK)","Prof Marcus  Munafo (Not used 0, Not used 0), Dr Katherine  Shelton (Not used 0, Not used 0), Dr Jon  Heron (Not used 0, Not used 0)",Peer group influences on the relationship between depressive symptoms and substance use/misuse in adolescence,BACKGROUND,null,"Wednesday, 6 January, 2010","Wednesday, 6 January, 2010","Alcohol, Depression, Drugs, Smoking"
1616720479-236,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=129,B209 - European research collaboration - Decode - 01/12/2004,https://proposals.epi.bristol.ac.uk/?q=node/127181,B209 - European research collaboration - Decode - 01/12/2004,B209,"M  Sanders (Not used 0, Not used 0)",,European research collaboration - Decode.,(No outline received).,null,"Wednesday, 1 December, 2004","Wednesday, 1 December, 2004","Diet, Eating disorders, Miscellaneous"
1616720079-75,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=137,B287 - Antisocial behaviour in girls BAT Study - 01/06/2000,https://proposals.epi.bristol.ac.uk/?q=node/127126,B287 - Antisocial behaviour in girls BAT Study - 01/06/2000,B287,"Prof Barbara  Maughan (King's College London, UK)",,Antisocial behaviour in girls (BAT Study).,"Though universally documented, sex differences in antisocial disorders remain poorly understood, and existing theory and evidence couses heavily on males. This proposal outlines an integrated programme of studies - spanning early childhood to the adult years - designed to test psychosocial influences on sex differences, and to provide the basis for a life-course perspective on antisocial behaviour in girls. Building on collaborations with three ongoing UK and US epidemiology/longitudinal studies the programme tests: (i) influences on the emergence of sex differences in early childhood; (ii) contrasting developmental models for the onset and persistance of girls' antisocial behaviour in childhood and adolescence, and for continuities to problems in psychosocial functioning in adult life; and (iii) biological and psychosocial risks for the development of depressive co-morbidity in early adolescence, and for the onset and recurrence of low mood in adult life.",null,"Thursday, 1 June, 2000","Thursday, 1 June, 2000",Antisocial Behaviour
1616723291-1383,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=74,B2069 - Androgens in maternal serum during gestation and child androgen levels in autism spectrum conditions and autistic traits - 29/08/2013,https://proposals.epi.bristol.ac.uk/?q=node/126029,B2069 - Androgens in maternal serum during gestation and child androgen levels in autism spectrum conditions and autistic traits - 29/08/2013,B2069,"Prof Simon  Baron-Cohen (University of Cambridge, UK)","Dr Bonnie  Auyeung (University of Cambridge, UK), Ms Alexa  Pohl (University of Cambridge, UK)",Androgens in maternal serum during gestation and child androgen levels in autism spectrum conditions and autistic traits.,"Aims: 1) To test if maternal free and total testosterone are elevated during pregnancy in autism spectrum conditions (ASC), and are correlated to number of autistic traits. 2) To test if maternal androgen levels mediate the reported relationship between gestational complications (i.e. hypertensive and hyperglycemic disorders of pregnancy) and autism risk. 3) To test if children with ASCs have elevated levels of androgens, and if number of autistic traits are correlated with elevated levels of androgens during childhood and adolescence.",null,"Monday, 19 August, 2013","Thursday, 29 August, 2013","Endocrine, Pregnancy"
1616720427-215,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=130,B183 - Impact of a family history of diabetes on early weight gain body composition and fitness - 01/07/2004,https://proposals.epi.bristol.ac.uk/?q=node/127199,B183 - Impact of a family history of diabetes on early weight gain body composition and fitness - 01/07/2004,B183,"Dr Julian  Hamilton-Shield (University of Bristol, UK)",,"Impact of a family history of diabetes on early weight gain, body composition and fitness.",(No outline received).,null,"Thursday, 1 July, 2004","Thursday, 1 July, 2004","Diabetes, Puberty"
1616726377-2589,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=12,B3483 - Assciations between eating behaviours and body mass index in the ALSPAC cohort at 25 - 16/03/2020,https://proposals.epi.bristol.ac.uk/?q=node/130075,B3483 - Assciations between eating behaviours and body mass index in the ALSPAC cohort at 25 - 16/03/2020,B3483,Julian Hamilton-Shield | TLS/PPS/ Bristol Biomedical Research Centre (Nutrition),"Jeff Brunstrom, Annika Flynn, Nick Timpson",Assciations between eating behaviours and body mass index in the ALSPAC cohort at 25,"Eating behaviours describe how people eat rather than what they eat. We believe that some current, common eating behaviours are part of the problem causing an increase in obesity levels in the UK and elsewhere. We put some questions in to the ALSPAC questionnaire for participants aged 25 years that asked about how fast they ate their meals, with whom and in front of what items if any of technology (such as computers, TV etc.). We will examine this information to see if any such behaviours tend towards increased body mass index in the cohort. This information may add to our clinical advice when counselling people with excess weight how to lose or maintain weight loss.",The findings will have direct relevance to our understanding of how eating behaviours influence weight. Current international weight management advice centres on getting people to actively reduce calories consumed and increase activity levels: these strategies are failing. We wish to build the evidence base that how we eat also influences daily calorie intake (subconsciously) and that addressing such behaviours will allow people to better manage calorie consumption which in public health terms is very cost effective.,"Tuesday, 10 March, 2020","Monday, 16 March, 2020","Obesity, Obesity, BMI"
1616721639-743,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=106,B822 - Replication Study of Associations between rs2891168 and Blood Pressure in Childhood and Adolescence - 13/05/2009,https://proposals.epi.bristol.ac.uk/?q=node/126685,B822 - Replication Study of Associations between rs2891168 and Blood Pressure in Childhood and Adolescence - 13/05/2009,B822,"Dr Paul  Leeson (University of Oxford, UK)","Prof Hugh  Watkins (University of Oxford, UK), Prof Keith  Channon (University of Oxford, UK), Prof Peter  Whincup (University of London, UK), Prof Derek  Cook (University of London, UK), Professor Aroon  Hingorani (University College London, UK), Prof John  Deanfield (University College London, UK)",Replication Study of Associations between rs2891168 and Blood Pressure in Childhood and Adolescence.,"A susceptibility locus on chromosome 9p21 has become the most consistently reproduced genetic risk marker for myocardial infarction1, 2. The locus has also now been associated with an increased risk of aneurysm formation via different underlying pathological processes, in distinct vascular beds; the abdominal aorta and intracranial arteries3. Together these observations point towards an underlying biological mechanism that operates at the level of the arterial wall4.",null,"Wednesday, 13 May, 2009","Wednesday, 13 May, 2009","Blood Pressure, Genetics"
1616723106-1311,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=77,B1538 - Genome-wide association study of deodorant usage - 28/03/2013,https://proposals.epi.bristol.ac.uk/?q=node/126100,B1538 - Genome-wide association study of deodorant usage - 28/03/2013,B1538,"Prof Ian  Day (University of Bristol, UK)","Santiago  Rodriguez (University of Bristol, UK), Mr Colin  Steer (University of Bristol, UK), Mrs Alexandra  Farrow (University of Bristol, UK), Prof Jean  Golding (University of Bristol, UK)",Genome-wide association study of deodorant usage.,Background,null,"Thursday, 28 March, 2013","Thursday, 28 March, 2013","GWAS, Hygiene"
1616726675-2706,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=6,B3612 - Using detailed cohort data to investigate collider bias in mental health outcomes - 08/09/2020,https://proposals.epi.bristol.ac.uk/?q=node/130202,B3612 - Using detailed cohort data to investigate collider bias in mental health outcomes - 08/09/2020,B3612,Gareth Griffith | University of Bristol MRC-IEU (United Kingdom),"Dan Smith, Matt Tudball, Dr Tim Morris, Dr Hannah Sallis, Professor Kate Tilling, Professor George Davey Smith, Professor Marcus Munafo",Using detailed cohort data to investigate collider bias in mental health outcomes.,"The need for comprehensive and representative data collection on populations for epidemiological research has been brought into sharp focus by the COVID-19 pandemic. This has resulted in the generation of many COVID-specific modules within existing cohorts and datasets (e.g. Henderson et al, 2020, Kwong et al, 2020). These datasets are going to be invaluable in understanding the mental health response of individuals to the COVID-19 pandemic. These studies reflect individuals responding under unique circumstances, presenting unique selection effects, which have the capacity to substantially bias results (Griffith et al. 2020). These selection effects are likely to be particularly stark with respect to mental health, which is known to be associated with non-response (Kwong, 2019). The data and analysis will be carried out by GG and DS, and data stored on the University of Bristol RDSF.","Elucidate potential impacts of non-random dropout, selection and collider bias. Increase understanding of the importance of representation in a mental health context.","Monday, 7 September, 2020","Tuesday, 8 September, 2020","Mental health - Psychology, Psychiatry, Cognition, Mental health, Statistical methods, Statistical methods"
1616721363-587,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=112,B749 - Association of rs1051730 maternal smoking genotype on child development - 12/08/2008,https://proposals.epi.bristol.ac.uk/?q=node/126748,B749 - Association of rs1051730 maternal smoking genotype on child development - 12/08/2008,B749,"Dr Marie-Jo  Brion (University of Bristol, UK)","Prof George  Davey Smith (University of Bristol, UK), Prof Debbie A Lawlor (University of Bristol, UK), Prof Andy  Ness (University of Bristol, UK), Dr Sam  Leary (University of Bristol, UK)",Association of rs1051730 maternal smoking genotype on child development.,"Maternal smoking is a known teratogen (1) and is associated with complications of pregnancy (2). Furthermore there is robust evidence that maternal smoking in pregnancy is causally associated with low birth weight in offspring (3;4). Observational studies have also reported associations of maternal smoking in pregnancy with various child outcomes such as increased obesity (5;6), reduced stature (7), lower cognitive development and behavioural problems (8;9) and higher blood pressure (10). However, results for these outcomes have been inconsistent and there is evidence that some of these associations reflect confounding by socioeconomic factors (10-13) rather genuine biological effects of intrauterine exposure to smoke.",null,"Tuesday, 12 August, 2008","Tuesday, 12 August, 2008","Development, Smoking"
1616725773-2351,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=24,B3234 - Nurture of Nature How Genes and Environments Interact in the Formation of Skills - 09/01/2019,https://proposals.epi.bristol.ac.uk/?q=node/129839,B3234 - Nurture of Nature How Genes and Environments Interact in the Formation of Skills - 09/01/2019,B3234,"Victor Andres Ronda Checchia | TrygFonden’s Centre for Child Research, Aarhus University. (Denmark)","Dorthe Bleses, Michael Rosholm",Nurture of Nature: How Genes and Environments Interact in the Formation of Skills,"The goal of our research proposal is to study the interplay between genetic influences and home and school environments in the context of child development. We aim to understand how maternal and child genes jointly determine parental investments, the role of parent-child interactions and daycare access in mediating genetic influences for skill formation, and epigenetic channels through which the childhood environment can influence childrenâs cognitive and behavioral development.",This project aims to provide a better understanding of the following questions: What is the role of parental genes in the transmission of health and skills? How does the environment mediate the effect of genetic influences and how do genetic influences mediate the effects of intervention? What is the role of epigenetic changes in explaining gene-environment interactions?,"Thursday, 3 January, 2019","Wednesday, 9 January, 2019","Social Science, Behaviour - e.g. antisocial behaviour, risk behaviour, etc., Speech/language problem, Statistical methods, Childhood - childcare, childhood adversity, Cognition - cognitive function, Speech and language, Development, Epigenetics, Genetics, Genomics, Intelligence - memory, Parenting, Psychology - personality, Social science"
1616722685-1148,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=86,B1328 - Developing and disseminating robust methods for handling missing data in epidemiological studies - 30/03/2012,https://proposals.epi.bristol.ac.uk/?q=node/126285,B1328 - Developing and disseminating robust methods for handling missing data in epidemiological studies - 30/03/2012,B1328,"Prof Kate  Tilling (Univeristy of Bristol, UK)","Prof Jonathan  Sterne (Not used 0, Not used 0),  James  Carpenter (Not used 0, Not used 0), Prof Mike  Kenward (Not used 0, Not used 0)",Developing and disseminating robust methods for handling missing data in epidemiological studies,Aims:,null,"Thursday, 29 March, 2012","Friday, 30 March, 2012","Bias, Methods"
1616726114-2485,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=17,B3374 - Is the polygenic risk score for Alzheimers disease and cognitive function manifest in childhood/adolescent brain structures - 16/09/2019,https://proposals.epi.bristol.ac.uk/?q=node/129971,B3374 - Is the polygenic risk score for Alzheimers disease and cognitive function manifest in childhood/adolescent brain structures - 16/09/2019,B3374,Neil Davies | Integrative Epidemiology Unit (United Kingdom),"Roxanna Korologou-Linden, Emma Anderson, Yoav Ben-Shlomo, Laura Howe",Is the polygenic risk score for Alzheimer’s disease and cognitive function manifest in childhood/adolescent brain structures?,This project will try to understand how early Alzheimer's disease is manifest through the use of genetic risk scores. Genetic risk scores (irrespective of whether an individual has Alzheimer's disease) are useful in examining prodromal phenotypes. We aim to investigate whether Alzheimer's disease is manifest in childhood and adolescence through the use of brain MRI data in ALSPAC.,To understand how early Alzheimer's disease in manifest.,"Friday, 13 September, 2019","Monday, 16 September, 2019","Genetic epidemiology (including association studies and mendelian randomisation), Mental health, Statistical methods, Mendelian randomisation"
1616724637-1903,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=46,B2694 - Impact of maternal influences on myopia development - 20/06/2016,https://proposals.epi.bristol.ac.uk/?q=node/127644,B2694 - Impact of maternal influences on myopia development - 20/06/2016,B2694,Alison Bruce | Bradford Institute for Health Research (United Kingdom),"Professor John Wright, Gillian Santorelli",Impact of maternal influences on myopia development,"The influence of prenatal factors in the determination of conditions such as heart disease, diabetes and obesity is well reported with maternal health and prenatal environment known to influence development throughout the life course. The development of myopia (short sight) has been explored previously with studies concentrating on the growth of the child. Early life and maternal influences on myopia have been examined in two British birth cohorts, ALSPAC and the 1958 Birth cohort, with some association between birth weight and growth being reported. Northstone at al. 2013 (ALSPAC) investigated growth trajectories from birth to age ten years (excluding puberty) and found minimal association between growth over the first ten years of life and the development of myopia, however maternal measures were not included in the analysis nor was growth tracked through puberty, a key time of myopia development. Separate analysis of the 1958 Birth cohort found some evidence of association between mothers’ height and myopia (1% increase in risk per centimetre increase in maternal height).

We are interested in analysing data previously collected by the ALSPAC team detailing measures of vision, degree of myopia and growth (height, weight and obesity) of the participating children through childhood and puberty, and in particular investigate the association of maternal factors such as maternal height, weight and obesity with the development of myopia.",null,"Thursday, 2 June, 2016","Tuesday, 7 June, 2016","Ophthalmology, juvenile myopia, Statistical methods, BMI, Growth, Hormones - cortisol, IGF, thyroid, Mothers - maternal age, menopause, obstetrics, Nutrition - breast feeding, diet, Physical - activity, fitness, function, Puberty, Sex differences, Vision"
1616720401-205,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=131,B166 - Genetic and environmental influences in speech and language development  disorder - 01/05/2004,https://proposals.epi.bristol.ac.uk/?q=node/127209,B166 - Genetic and environmental influences in speech and language development  disorder - 01/05/2004,B166,"Prof Patrick  Bolton (King's College London, UK)",,Genetic and environmental influences in speech and language development & disorder.,(No outline received).,null,"Saturday, 1 May, 2004","Saturday, 1 May, 2004","Genetics, Speech & Language, Environmental"
1616722856-1214,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=82,B1422 - CIPHER Centre for Improvement of Population Health through e-Health Research - 17/08/2012,https://proposals.epi.bristol.ac.uk/?q=node/126204,B1422 - CIPHER Centre for Improvement of Population Health through e-Health Research - 17/08/2012,B1422,"Prof John  Macleod (University of Bristol, UK)",,CIPHER (Centre for Improvement of Population Health through e-Health Research).,"Vision: CIPHER will harness existing strengths in health informatics research to address translational delays between knowledge discovery, intervention assessment and adoption, and population impact by: developing collaborations to link previously isolated silos of expertise (observational, interventional, biomedical and social science); improving knowledge exchange between academic, practitioner and policy leads; and liberating information trapped in data islands. CIPHER will add value by maximising the utility of available routine health-related data on the full UK population, provide robust methods to link such data to UK cohorts, surveys and non-health administrative data, enhanced by collection of novel population level data on health status, behaviours and exposures. Embedding cohorts, trials and survey data within this total population structure will meet the aims of the initiative by providing the data, methods and skills to enhance observational and interventional research capacity and efficiency, support policy decisions, and quantify the impact of investment in scientific research on population health and wellbeing. CIPHER combines applicants from Swansea (SU), Bristol (BU), Cardiff (CU), Brighton, Leicester and Sussex Universities with experts from Curtin, Monash, Ottawa and Western Australia Universities, ensuring novel methodological developments and high quality trans-national research.",null,"Friday, 17 August, 2012","Friday, 17 August, 2012","Social Networks, Qualitative Research"
1616720235-138,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=134,B74 - Effects of lifestyle on bone mass acquisition in early puberty - 01/08/2002,https://proposals.epi.bristol.ac.uk/?q=node/127272,B74 - Effects of lifestyle on bone mass acquisition in early puberty - 01/08/2002,B74,"Dr Jon  Tobias (University of Bristol, UK)",,Effects of lifestyle on bone mass acquisition in early puberty.,"We aim to investigate whether lifestyle in early puberty influences bone mass acquisition during this period, and as a result likely to effect the risk of developing osteoporosis in later life. This will be addressed by analysing whether diet, exercise or other factors as assessed at age 10.5 years are associated with gain in bone mass, as measured between the ages of 9.5 and 11.5 years in the ALSPAC cohort.",null,"Thursday, 1 August, 2002","Thursday, 1 August, 2002","Bones, Diet, Genetics, Physical Activity, Physical Fitness, Eating disorders, Puberty"
1616724272-1764,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=54,B2516 - The genetic architecture of pro-social behaviour - 03/09/2015,https://proposals.epi.bristol.ac.uk/?q=node/125663,B2516 - The genetic architecture of pro-social behaviour - 03/09/2015,B2516,"Dr Beate  St. Pourcain (University of Bristol, UK)","Prof George  Davey Smith (Univeristy of Bristol, UK),  Simon  Fisher (Not used 0, Not used 0),  Claire  Hawoth (University of Bristol, UK),  Oliver  Davis (Not used 0, Not used 0)",The genetic architecture of pro-social behaviour,"Human social interaction plays an important role in social success, adjustment and development. This involves also altruistic and prosocial behaviour1, which supports creating and maintaining social bonds, an important quality of functioning societies2. Prosocial behaviour is one of the most heritable social skills with twin heritabilities rising from 0.32 during early childhood to 0.61 during middle childhood3. It is strongly associated with social cognition and intelligence, and prosocial motivation is one of the three major cognitive components, which have been hypothesized to underlie empathyADDIN ZOTERO_ITEM CSL_CITATION{""citationID"":""16tvof0ais"",""properties"":{""formattedCitation"":""{\rtf\super4\nosupersub{}}"",""plainCitation"":""4""},""citationItems"":[{""id"":3140,""uris"":[""http://zotero.org/users/8513/items/9AICVEX6""],""uri"":[""http://zotero.org/users/8513/items/9AICVEX6""],""itemData"":{""id"":3140,""type"":""article-journal"",""title"":""Theneuroscience of empathy: progress, pitfalls andpromise"",""container-title"":""Nature Neuroscience"",""page"":""675-680"",""volume"":""15"",""issue"":""5"",""source"":""www.nature.com"",""abstract"":""Thelast decade has witnessed enormous growth in the neuroscience of empathy. Here,we survey research in this domain with an eye toward evaluating its strengthsand weaknesses. First, we take stock of the notable progress made by earlyresearch in characterizing the neural systems supporting two empathicsub-processes: sharing others' internal states and explicitly considering thosestates. Second, we describe methodological and conceptual pitfalls into whichthis work has sometimes fallen, which can limit its validity. These include theuse of relatively artificial stimuli that differ qualitatively from the socialcues people typically encounter and a lack of focus on the relationship betweenbrain activity and social behavior. Finally, we describe current researchtrends that are overcoming these pitfalls through simple but importantadjustments in focus, and the future promise of empathy research if thesetrends continue and expand.

View fulltext"",""DOI"":""10.1038/nn.3085"",""ISSN"":""1097-6256"",""shortTitle"":""Theneuroscience of empathy"",""journalAbbreviation"":""NatNeurosci"",""language"":""en"",""author"":[{""family"":""Zaki"",""given"":""Jamil""},{""family"":""Ochsner"",""given"":""KevinN.""}],""issued"":{""date-parts"":[[""2012"",5]]}}}],""schema"":""https://github.com/citation-style-language/schema/raw/master/csl-citation.json""}4. The neurobiological basis of pro-social behaviour and empathy is complex. Empathic cognition has been linked to multiple subcortical regions such as the limbic system, the putative mirror system, a proposed mentalising network 5,6, as well as the septal area, which has also been associated with prosocial motivation e.g. ADDIN ZOTERO_ITEM CSL_CITATION{""citationID"":""XIZroMmB"",""properties"":{""formattedCitation"":""{\rtf\super7,8\nosupersub{}}"",""plainCitation"":""7,8""},""citationItems"":[{""id"":3151,""uris"":[""http://zotero.org/users/8513/items/W9689QEU""],""uri"":[""http://zotero.org/users/8513/items/W9689QEU""],""itemData"":{""id"":3151,""type"":""article-journal"",""title"":""Neuralcorrelates of giving support to a lovedone"",""container-title"":""PsychosomaticMedicine"",""page"":""3-7"",""volume"":""74"",""issue"":""1"",""source"":""PubMed"",""abstract"":""OBJECTIVE:Social support may benefit mental and physical well-being, but most researchhas focused on the receipt, rather than the provision, of social support. Weexplored the potentially beneficial effects of support giving by examining theneural substrates of giving support to a loved one. We focused on a prioriregions of interest in the ventral striatum and septal area (SA) because oftheir role in maternal caregiving behavior in animals.

METHODS: Twentyromantic couples completed a functional magnetic resonance imaging session inwhich the female partner underwent a scan while her partner stood just outsidethe scanner and received unpleasant electric shocks.

RESULTS: Support giving(holding a partner's arm while they experienced physical pain), compared withother control conditions, led to significantly more activity in the ventralstriatum, a reward-related region also involved in maternal behavior (p valuesless than  .05). Similar effects were observed for the SA, a region involved in bothmaternal behavior and fear attenuation. Greater activity in each of theseregions during support giving was associated with greater self-reported supportgiving effectiveness and social connection (r values = 0.55-0.64, p values less than .05). In addition, in line with the SA's role in fear attenuation (presumablyto facilitate caregiving during stress), increased SA activity during supportgiving was associated with reduced left (r = -0.44, p less than  .05) and right (r =-0.42, p less than  .05) amygdala activity.

CONCLUSIONS: Results suggest thatsupport giving may be beneficial not only for the receiver but also for thegiver. Implications for the possible stress-reducing effects of support givingare discussed."",""DOI"":""10.1097/PSY.0b013e3182359335"",""ISSN"":""1534-7796"",""note"":""PMID:22071630"",""journalAbbreviation"":""PsychosomMed"",""language"":""eng"",""author"":[{""family"":""Inagaki"",""given"":""TristenK.""},{""family"":""Eisenberger"",""given"":""NaomiI.""}],""issued"":{""date-parts"":[[""2012"",1]]},""PMID"":""22071630""}},{""id"":3177,""uris"":[""http://zotero.org/users/1947403/items/PSZ5IXEX""],""uri"":[""http://zotero.org/users/1947403/items/PSZ5IXEX""],""itemData"":{""id"":3177,""type"":""article-journal"",""title"":""Impairmentof prosocial sentiments is associated with frontopolar and septal damage infrontotemporaldementia"",""container-title"":""NeuroImage"",""page"":""1735-1742"",""volume"":""54"",""issue"":""2"",""source"":""PubMedCentral"",""abstract"":""Poets and philosophers have longacknowledged moral sentiments as key motivators of human social behavior.Prosocial sentiments, which include guilt, pity and embarrassment, enable us tocare about others and to be concerned about our mistakes. Functional imagingstudies have implicated frontopolar, ventromedial frontal and basal forebrainregions in the experience of prosocial sentiments. Patients with lesions of thefrontopolar and ventromedial frontal areas were observed to behaveinappropriately and less prosocially, which could be attributed to ageneralized emotional blunting. Direct experimental evidence for brain regionsdistinctively associated with moral sentiment impairments is lacking, however.We investigated this issue in patients with the behavioral variant offrontotemporal dementia, a disorder in which early and selective impairments ofsocial conduct are consistently observed. Using a novel moral sentiment task,we show that the degree of impairment of prosocial sentiments is associatedwith the degree of damage to frontopolar cortex and septal area, as assessedwith 18-Fluoro-Deoxy-Glucose-Positron Emission Tomography, an establishedmeasure of neurodegenerative damage. This effect was dissociable fromimpairment of other-critical feelings (anger and disgust), which was in turnassociated with dorsomedial prefrontal and amygdala dysfunction. Our findingssuggest a critical role of the frontopolar cortex and septal region in enablingprosocial sentiments, a fundamental component of moralconscience."",""DOI"":""10.1016/j.neuroimage.2010.08.026"",""ISSN"":""1053-8119"",""note"":""PMID:20728544

PMCID:PMC2997153"",""journalAbbreviation"":""Neuroimage"",""author"":[{""family"":""Moll"",""given"":""Jorge""},{""family"":""Zahn"",""given"":""Roland""},{""family"":""deOliveira-Souza"",""given"":""Ricardo""},{""family"":""Bramati"",""given"":""IvaneiE.""},{""family"":""Krueger"",""given"":""Frank""},{""family"":""Tura"",""given"":""Bernardo""},{""family"":""Cavanagh"",""given"":""AlysonL.""},{""family"":""Grafman"",""given"":""Jordan""}],""issued"":{""date-parts"":[[""2011"",1,15]]},""PMID"":""20728544"",""PMCID"":""PMC2997153""}}],""schema"":""https://github.com/citation-style-language/schema/raw/master/csl-citation.json""}7,8. In addition, several neuropsychiatric disorders show abnormal social functioning. Understanding the neural basis of prosocial behaviour has remained however challenging due to the diversity of cognitive assessments, developmental changes in genetic architecture of prosocial and cognitive skills and the wide range of often costly neuroimaging technologies.",null,"Monday, 24 August, 2015","Thursday, 3 September, 2015",
1616720973-434,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=119,B528 - 1958 DNA distribution - 01/06/2007,https://proposals.epi.bristol.ac.uk/?q=node/126938,B528 - 1958 DNA distribution - 01/06/2007,B528,"Dr Susan  Ring (University of Bristol, UK)",,1958 DNA distribution,"The British 1958 birth cohort1 is based on all persons born in Britain during one week in March in 1958. Participants have been followed throughout their lives and biomedical information has been collected at various time points. Biological samples were collected from the cohort during medical examinations between Sept 2002 and March 2004. Funding for creation of a blood derived DNA bank was provided by the MRC (strategic project grant G0000934). Funding for creation of lymphoblastoid cell lines, cell line derived DNA extraction, banking and distribution was funded by the Wellcome Trust (grant no 068545).",null,"Friday, 1 June, 2007","Friday, 1 June, 2007",Genetics
1616725884-2394,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=21,B3278 - Understanding the multimorbidity of non-communicable diseases from childhood to adulthood MOCHA - 25/03/2019,https://proposals.epi.bristol.ac.uk/?q=node/129877,B3278 - Understanding the multimorbidity of non-communicable diseases from childhood to adulthood MOCHA - 25/03/2019,B3278,Raquel Granell | IEU Population Health Sciences Bristol Medical School (United Kingdom),Prof John Henderson,Understanding the multimorbidity of non-communicable diseases from childhood to adulthood (MOCHA),"Multimorbidity (i.e. the co-occurrence of more than one chronic disease in the same person) has been recognised as

a major public health problem in the old age. In contrast, knowledge of multimorbidity among children,

adolescents and young adults is lacking. MOCHA challenges the prevailing concept that multimorbidity is

mainly an issue of ageing. MOCHA hypothesises that multimorbidity originates early in life and continues to develop throughout the life

course.",Publications in high impact relevant journals,"Thursday, 21 March, 2019","Monday, 25 March, 2019","Genetic epidemiology (including association studies and mendelian randomisation), Allergy, Eczema, Mental health, Obesity, Respiratory - asthma, GWAS, Ageing, Biomarkers - e.g. cotinine, fatty acids, haemoglobin, etc., Genetics, Genome wide association study, Hormones - cortisol, IGF, thyroid, Mendelian randomisation, Puberty, Birth outcomes, Blood pressure, BMI, Breast feeding, Cardiovascular, Cognition - cognitive function, Epigenetics, Genetic epidemiology"
